pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Buhasha B1,RYENGYERERO,Mitooma,1659.6,26.0,30.0,0.75,47.0,,,,,,,,,40.0,2.0,
Nyarushinya,KASHASHA,Mitooma,0.0,52.0,60.0,0.75,,,,,,,,,,,,
Kihungye,KASHASHA,Mitooma,1161.0,41.0,10.0,0.49975,,,,,,,,,,,,
Katagata,KATAGATA,Mitooma,1645.9,32.0,40.0,0.24,,,,,,,,,,,,
Rucururu,RWAMUJURA,Mitooma,1536.8,93.0,20.0,0.25,160.0,,,,,,,,,50.0,,
Mutanoga,RWAMUJURA,Mitooma,0.0,75.0,30.0,2.75,40.0,,,,,,,,,60.0,,
Rutooma,RWAMUJURA,Mitooma,1586.2,69.0,30.0,0.85,,,,,,,,,,30.0,30.0,
Buhasha A2,RYENGYERERO,Mitooma,1524.8,28.0,30.0,0.25,,,,,,,,,,,,
Kibaya,KASHASHA,Mitooma,0.0,39.0,60.0,0.25,22.0,,,,,50.0,,2.0,,0.0,,
Kaniampiiha,KASHASHA,Mitooma,0.0,33.0,120.0,0.75,70.0,,2.5,,,,,5.0,,,20.0,
Buhasha B3,RYENGYERERO,Mitooma,1613.9,48.0,10.0,0.325,50.0,,,,,,,,,60.0,,
Rwengyerero B,RYENGYERERO,Mitooma,1608.3,70.0,30.0,0.75,,,,,,,,,,45.0,,
Nyarushinya,KASHASHA,Mitooma,1141.3,59.0,40.0,1.25,,,,,,,,2.0,,30.0,100.0,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,28.0,60.0,0.09999999999999998,,,,,,,,,,,,
Nyarwanya A,KATAGATA,Mitooma,1570.7,28.0,30.0,1.25,,,,,,,,,,,,
Kashasha,KASHASHA,Mitooma,1160.2,65.0,10.0,0.5,,,,,,,,,,70.0,,
Kashasha,KASHASHA,Mitooma,1159.9,25.0,15.0,1.0,,,,,,,,,,0.0,,
Kaniampiiha,KASHASHA,Mitooma,1199.9,34.0,40.0,0.25,110.0,,,,,,,,,20.0,120.0,
Kihungye,KASHASHA,Mitooma,1164.1,42.0,30.0,0.75,70.0,,,,,,,,,52.0,,
Kenshumba,KATAGATA,Mitooma,1610.3,52.0,25.0,1.75,100.0,,,,,,,,,70.0,,
Rucururu,RWAMUJURA,Mitooma,1554.5,57.0,40.0,0.5,110.0,,,,,,,,,50.0,100.0,
Itara,KATAGATA,Mitooma,1566.7,48.0,20.0,0.25,38.0,,,,,,,,,40.0,,
Buhasha B1,RYENGYERERO,Mitooma,1165.2,57.0,120.0,2.75,68.0,,,,,,,2.0,,0.0,,
Kaniampiiha,KASHASHA,Mitooma,1190.9,63.0,20.0,2.0,70.0,,,,25.0,,,3.0,,10.0,80.0,
Kihungye,KASHASHA,Mitooma,1156.6,32.0,20.0,0.75,40.0,,,,,,,,,52.0,40.0,
Buhasha A2,RYENGYERERO,Mitooma,1609.3,45.0,180.0,0.75,18.0,,,,,,,,,,,
Itara,KATAGATA,Mitooma,1562.3,25.0,30.0,0.75,75.0,,,,,,,,,,,
Rurama_Kashasha,KASHASHA,Mitooma,1192.3,50.0,120.0,0.75,,,,,,,,,,55.0,90.0,
