pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Kabijaga,NYAK-KAFUNJO,Rukungiri,1764.0,30.0,20.0,1.75,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,0.0,53.0,6.0,0.95,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,57.0,,0.0,,,,,,,,,,,,
Ruhonwa,NYAK-KATONYA,Rukungiri,2123.2,31.0,60.0,1.5,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndago,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,41.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,31.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,64.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,46.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndago,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,52.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,52.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,1737.3,40.0,60.0,0.74975,11.0,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,51.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,69.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,41.0,,0.0,,,,,,,,,,,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1951.9,62.0,30.0,0.25,,,,,,,,,,30.0,,
Nyakasharara,Burama,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Nyakabare,NYAK-KATONYA,Rukungiri,1979.2,38.0,50.0,1.4,,,,,,,,,,180.0,,
Karuhara,Ndago,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,53.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,54.0,,0.0,,,,,,,,,,,,
Nyaruziba,NYAK-KAFUNJO,Rukungiri,0.0,43.0,35.0,0.5,2.5,,,,,,,,,48.0,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,1647.6,39.0,30.0,1.0,39.0,,,,,,,,,19.0,,
Kahoro,Burama,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1918.4,30.0,20.0,0.75,60.0,,,,,,,,,30.0,,
Kagati,Burama,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,82.0,60.0,0.25,50.0,,,,,,,,,2.0,,
Kyanika A,Ndagu,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,83.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,21.0,120.0,0.25,,,,,,,,,,5.0,0.0,
Kagati,Burama,Rukungiri,,23.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Nyamabare,NYAK-KAFUNJO,Rukungiri,0.0,76.0,20.0,0.30000000000000004,70.0,,,,,,,,,60.0,0.0,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,51.0,40.0,1.75,155.0,,,,,,,,,140.0,,
Kahoro,Burama,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,51.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,86.0,,0.0,,,,,,,,,,,,
Nyamabare,NYAK-KAFUNJO,Rukungiri,0.0,27.0,30.0,1.0,,,,,,,,,,30.0,,
Kamira,Ndagu,Rukungiri,,63.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,64.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Nyakakizi,NYAK-KAFUNJO,Rukungiri,0.0,50.0,20.0,1.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,67.0,60.0,0.5,50.0,,,,,,,4.5,,6.0,,
Kyanyamishwa,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Nyamabare,NYAK-KAFUNJO,Rukungiri,0.0,20.0,60.0,0.75,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Rutooma,NYAK-KATONYA,Rukungiri,2008.0,38.0,120.0,0.0,,,,,,,,,,15.0,,
Kyanyamishwa,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Nyakabare,NYAK-KATONYA,Rukungiri,1950.6,27.0,60.0,0.8,30.0,,,,,,,1.2,,150.0,,
Kyanyamishwa,Ndago,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,66.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,23.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,46.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kajumera,NYAK-KATONYA,Rukungiri,1863.5,35.0,30.0,0.75,,,,,,,,,,72.0,,
Nyakabungo,NYAK-KATONYA,Rukungiri,1971.8,62.0,40.0,0.25,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,30.0,20.0,1.5,,,,,,,,,,150.0,,
Kyanyamishwa,Ndago,Rukungiri,,61.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,53.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,34.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,26.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,74.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,57.0,,0.0,,,,,,,,,,,,
Nyakabare,NYAK-KATONYA,Rukungiri,1941.0,75.0,120.0,0.75,,,,400.0,,,,,,50.0,,
Torotoro,Ndago,Rukungiri,,82.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,31.0,,0.0,,,,,,,,,,,,
Nyakabungo,NYAK-KATONYA,Rukungiri,0.0,52.0,45.0,0.75,,,,,,,,,,60.0,,
Kagati,Burama,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,68.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,0.0,53.0,5.0,0.9950000000000001,70.0,,,,,,,4.0,,,,
Nyakabungo,NYAK-KATONYA,Rukungiri,0.0,76.0,30.0,1.875,60.0,,,,,,,,,60.0,30.0,
Kahoro,Burama,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,52.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,26.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,65.0,80.0,4.75,,,,,,,,5.0,,230.0,,
Nyarubira,NYAK-KATONYA,Rukungiri,2092.6,42.0,120.0,0.55,,,,,,,,,,40.0,,
Karuhara,Ndago,Rukungiri,,26.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,43.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,52.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,24.0,5.0,0.0,150.0,,,,,,,,,200.0,,
Nyabishaki,NYAK-KAFUNJO,Rukungiri,2109.4,35.0,240.0,0.25,140.0,,,,,,,,,,,
Rutooma,NYAK-KATONYA,Rukungiri,2002.0,62.0,30.0,1.5,,,,70.0,,,,,,40.0,,
Rushinya,Burama,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kajumera,NYAK-KATONYA,Rukungiri,1780.8,50.0,10.0,0.8,115.0,,,,150.0,,,,,360.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,50.0,10.0,0.75,50.0,,,,,,,,,200.0,800.0,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,50.0,10.0,0.75,50.0,,,,,,,,,200.0,800.0,
Karuhara,Ndago,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,57.0,60.0,2.75,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,68.0,,0.0,,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,2048.3,50.0,30.0,0.75,,,,,,,,6.0,,,,
Kahoro,Burama,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,80.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,34.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,80.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,52.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,51.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1813.9,53.0,25.0,2.5,,,,,,,,,,150.0,,
Nyakasharara,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,31.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1887.2,50.0,60.0,1.0,,,,,,,,,,20.0,,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,50.0,60.0,2.5,200.0,,,,,,,9.0,,120.0,15.0,
Karuhara,Ndago,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,34.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,34.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,17.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,53.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,59.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,72.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,59.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,,,0.0,,,,,,,,,,,,
Nyaruziba,NYAK-KAFUNJO,Rukungiri,0.0,55.0,20.0,1.75,200.0,,10.0,280.0,,,,,,0.0,,
Kabeshekyere,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,59.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,31.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,54.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,80.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,74.0,,0.0,,,,,,,,,,,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,0.0,78.0,30.0,2.75,25.0,,,160.0,,,,8.0,,60.0,,
Kyanika B,Ndago,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Kafunjo Cell,NYAK-KAFUNJO,Rukungiri,0.0,35.0,15.0,0.875,,,,,,,,,,40.0,,
Kikoni A,Ndago,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndago,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,73.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,22.0,,0.0,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,39.0,60.0,0.75,55.0,,,,,,,,,76.0,,
Nyakatokye,Ndago,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,67.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,34.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,51.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,54.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1952.2,80.0,2.0,1.5,70.0,,,,,,,,,12.0,,
Kibarama,Burama,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,0.0,58.0,15.0,1.875,55.0,,,,,,,6.0,,30.0,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,0.0,70.0,25.0,0.875,,,,,,,,,,5.0,,
Rwemirongo,Burama,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,71.0,,0.0,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1870.6,52.0,60.0,1.5,,,,,,,,,,70.0,,
Kyanika A,Ndagu,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Nyakakizi,NYAK-KAFUNJO,Rukungiri,1860.0,73.0,60.0,0.25,55.0,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,12.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,75.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,63.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,54.0,,0.0,,,,,,,,,,,,
Rugazi,NYAK-KAFUNJO,Rukungiri,1782.3,30.0,30.0,0.5,,,,,,,,,,25.0,,
Kitookye,Ndago,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,52.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,75.0,,0.0,,,,,,,,,,,,
Nyakabare,NYAK-KATONYA,Rukungiri,0.0,39.0,20.0,0.9,,,,,,,,,,25.0,,
Kikoni A,Ndago,Rukungiri,,80.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,53.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,54.0,5.0,0.75,45.0,,,35.0,,,,3.0,,400.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,54.0,5.0,0.75,45.0,,,35.0,,,,3.0,,400.0,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,1815.8,35.0,60.0,1.25,,,,,,,,,,300.0,,
Karuhara,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,44.0,60.0,1.75,250.0,,3.0,,,,,14.0,,60.0,4.0,
Nyakaju,Ndago,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndago,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,29.0,20.0,0.75,90.0,,,,,,,10.0,,37.0,,
Kabeshekyere,Burama,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Nyakabare,NYAK-KATONYA,Rukungiri,1862.4,77.0,60.0,2.325,,,,450.0,,,,2.0,,100.0,,
Rushinya,Burama,Rukungiri,,21.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,43.0,,0.0,,,,,,,,,,,,
