pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kibara,Rubanda,Rwakaroro,2084.8416666666667,49.333333333333336,0.6666666666666666,60.833333333333336,137.72727272727272,1.5,,220.0,,,,10.333333333333334,,3.888888888888889,,2022
Kibare,Rubanda,Ruhungu,2039.6499999999999,57.583333333333336,0.7166666666666668,49.583333333333336,116.1,26.0,,,,,,6.125,,32.666666666666664,,2022
Kigarama_Nyamabare,Rubanda,Nyamabare,2121.8454545454547,51.18181818181818,1.1181818181818182,41.54545454545455,92.54545454545455,4.8,,,,,,8.75,,54.25,,2022
Kigarya,Rubanda,Bunagana,2143.9500000000003,50.25,1.5058333333333334,61.916666666666664,125.27272727272727,,,,,,,6.5625,,5.0,,2022
Kigunguzo,Rubanda,Kishanje,2370.0666666666666,51.5,1.3708333333333333,215.5,120.45454545454545,6.5,,,,,,10.15,,9.0,,2022
Kigunura,Rubanda,Mushanje,2314.7153846153847,50.69230769230769,0.6961538461538462,180.0,91.0,3.0,,,,,,4.8,,9.5,,2022
Kijagi,Rubanda,Kishanje,2138.9500000000003,49.583333333333336,2.6783333333333332,35.833333333333336,274.6666666666667,14.0,,,,,,6.05,,5.5,,2022
Kinyami,Rubanda,Kishanje,2230.0,40.833333333333336,1.3360833333333335,128.58333333333334,123.18181818181819,9.6,,140.0,,,,12.714285714285714,,14.0,,2022
Kinyungu,Rubanda,Mushanje,2126.0538461538463,38.61538461538461,0.836923076923077,60.76923076923077,136.15384615384616,3.75,,,,,,5.125,,18.857142857142858,0.0,2022
Kiriba,Rubanda,Ruhungu,2087.7583333333337,50.666666666666664,1.7208333333333332,44.166666666666664,186.58333333333334,9.0,,,,,,5.375,,29.0,,2022
Kiriba_A,Rubanda,Kagogo,2081.25,46.666666666666664,1.1824999999999999,74.16666666666667,153.63636363636363,13.875,,,,,,4.545454545454546,,21.0,,2022
Kiriba_B,Rubanda,Kagogo,2007.1833333333334,53.25,0.9216666666666665,57.083333333333336,109.5,13.2,,,,,,5.5,,10.0,,2022
Kiriba_Kashasha,Rubanda,Kashasha,2115.4416666666666,49.583333333333336,0.75,42.5,204.0909090909091,15.0,,250.0,,,,10.5,,4.8,,2022
Kirimbi,Rubanda,Kashasha,2094.3545454545456,41.54545454545455,0.7318181818181819,24.545454545454547,211.36363636363637,,,,,,,11.722222222222221,,16.0,,2022
Kiringa,Rubanda,Nyamabare,1982.2416666666668,43.833333333333336,0.9083333333333333,45.833333333333336,270.0,,,,,,,10.916666666666666,,10.75,,2022
Kiruruma_Kacerere,Rubanda,Rwakaroro,2032.1999999999998,53.30769230769231,1.0807692307692307,40.0,178.84615384615384,178.6,,175.0,,,,53.75,,28.75,,2022
Kirwa_Kacerere,Rubanda,Rwakaroro,2012.0416666666667,50.083333333333336,1.4433333333333334,15.416666666666666,197.77777777777777,9.666666666666666,,,,,,5.0,,25.6,10.0,2022
Kirwa_Kagunga,Rubanda,Kagunga,2015.4166666666667,53.666666666666664,2.0166666666666666,58.75,172.83333333333334,12.0,,,,,,4.95,,3.0,,2022
Kisenyi,Rubanda,Kashasha,2040.3363636363638,53.36363636363637,0.6883795454545454,62.90909090909091,78.25,,,,,,,14.0,,,,2022
Kishanje,Rubanda,Kishanje,2118.3166666666666,45.666666666666664,0.9708333333333333,22.666666666666668,188.0,116.33333333333333,,175.0,,,,113.0,,26.666666666666668,,2022
Kishanje_Tc,Rubanda,Kishanje,2089.975,53.666666666666664,0.9535,21.25,165.75,12.0,,275.0,,,,16.0,,9.0,,2022
Kitabugika_Mugyera,Rubanda,Mugyera,2394.3250000000003,50.083333333333336,0.9479166666666666,280.8333333333333,220.55555555555554,9.666666666666666,,,,,,7.333333333333333,,6.4,,2022
Kitahurira,Rubanda,Kashasha,2121.16,56.6,0.7413000000000001,48.5,102.0,11.0,,,,,,14.0,,,,2022
