pre_village,Agriculture Value (USD),pre_district
Nyakaju,95.67567567567568,Rukungiri
Kato-Mukajagiro,640.5405405405405,Rukungiri
Kafu-Rugandu,340.4054054054054,Rukungiri
Kafu-Kabuzigye,433.7837837837838,Rukungiri
Kahoro,495.94594594594594,Rukungiri
Rugarama_Katonya,92.56756756756756,Rukungiri
Rugarama_Katonya,92.56756756756756,Rukungiri
Kyanika B,410.81081081081084,Rukungiri
Kato-Rwangura,435.0,Rukungiri
Kato-Nyakabungo,427.02702702702703,Rukungiri
Kato-Kajumera,573.6486486486486,Rukungiri
Kafu-Nyaruziba,525.9459459459459,Rukungiri
Kibarama,197.83783783783784,Rukungiri
Kato-Nyakabungo,537.1621621621622,Rukungiri
Kafu-Nyakakizi,213.51351351351352,Rukungiri
Kato-Nyakashenyi,41.08108108108108,Rukungiri
Kamira,559.4594594594595,Rukungiri
Kafu-Kijubwe,662.1621621621622,Rukungiri
Kikoni B,336.2162162162162,Rukungiri
Kafu-Kagasha,220.27027027027026,Rukungiri
Kibarama,175.67567567567568,Rukungiri
Kafu-Bugomora,229.05405405405406,Rukungiri
Kikoni A,497.02702702702703,Rukungiri
Kato-Bugarama,221.6216216216216,Rukungiri
Kato-Rutooma,613.5135135135135,Rukungiri
Kafu-Nyamabare,672.7027027027027,Rukungiri
Kafu-Kagasha,255.40540540540542,Rukungiri
Kafu-Kafunjo Cell,328.3783783783784,Rukungiri
Kibarama,366.2162162162162,Rukungiri
Karuhara,577.9459459459459,Rukungiri
Kato-Mugurante,254.05405405405406,Rukungiri
Kato-Kashenyi,316.0810810810811,Rukungiri
Kato-Nyakabare,483.7837837837838,Rukungiri
Kato-Rujoka,422.97297297297297,Rukungiri
Kyanika B,396.4054054054054,Rukungiri
Kafu-Bugandaza,477.2972972972973,Rukungiri
Kafu-Kagorogoro,347.97297297297297,Rukungiri
Kagati,531.8918918918919,Rukungiri
Nyakasharara,527.2972972972973,Rukungiri
Kato-Nyakashenyi,503.2432432432432,Rukungiri
Kafu-Kagorogoro,533.7837837837837,Rukungiri
Kikoni B,549.7297297297297,Rukungiri
Kato-Bugarama,307.56756756756755,Rukungiri
Kafu-Kagasha,402.6756756756757,Rukungiri
Kato-Rujoka,222.2972972972973,Rukungiri
Kafu-Rutooma,610.8108108108108,Rukungiri
Kamira,698.2432432432432,Rukungiri
Kato-Ndyabihanga,486.2162162162162,Rukungiri
Kato-Kashenyi,259.4594594594595,Rukungiri
Kato-Nyakashenyi,229.72972972972974,Rukungiri
Kafu-Kagorogoro,334.3243243243243,Rukungiri
Kafu-Kagasha,340.4054054054054,Rukungiri
Kafu-Nyabishaki,401.35135135135135,Rukungiri
Kitookye,432.43243243243245,Rukungiri
Kahama,522.972972972973,Rukungiri
Kato-Rujoka,292.64864864864865,Rukungiri
Rugarama_Katonya,632.972972972973,Rukungiri
Rugarama_Katonya,632.972972972973,Rukungiri
Kafu-Nyabishaki,433.3783783783784,Rukungiri
Kato-Mukajagiro,529.7297297297297,Rukungiri
Kafu-Nyabishaki,548.7837837837837,Rukungiri
Kafu-Rugandu,248.64864864864865,Rukungiri
Kafu-Nyamabare,292.1621621621622,Rukungiri
Rugarama_Katonya,494.7027027027027,Rukungiri
Rugarama_Katonya,494.7027027027027,Rukungiri
Kafu-Kajubwe,363.7837837837838,Rukungiri
Kato-Nyakashenyi,392.56756756756755,Rukungiri
Karuhara,679.1891891891892,Rukungiri
Nyakatokye,91.89189189189189,Rukungiri
Kato-Mukajagiro,478.3783783783784,Rukungiri
Kato-Rwangura,500.27027027027026,Rukungiri
Kafu-Nyakakizi,689.1891891891892,Rukungiri
Kyanika A,359.4594594594595,Rukungiri
Kagati,70.54054054054055,Rukungiri
Kafu-Rugazi,416.2162162162162,Rukungiri
Burebane_Katonya,743.5135135135135,Rukungiri
Kato-Ndyabihanga,400.6756756756757,Rukungiri
Kibarama,736.4864864864865,Rukungiri
Nyakatokye,252.7027027027027,Rukungiri
Kitookye,374.35135135135135,Rukungiri
Kato-Ruhonwa,477.02702702702703,Rukungiri
Kato-Nyakashenyi,667.5675675675676,Rukungiri
Kato-Nyakabare,678.3783783783783,Rukungiri
Kato-Bugarama,152.97297297297297,Rukungiri
Kyanyamishwa,228.9189189189189,Rukungiri
Kahama,318.7837837837838,Rukungiri
Kafu-Kabuzigye,663.5135135135135,Rukungiri
