pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kaho-Buhumuriro,RUKUNGIRI,NYAK-KAHOKO,0.0,62.5,19.167,1.55,57.5,,,,30.0,,,,,,,2020
Kaho-Buhumuriro,Rukungiri,NYAK-KAHOKO,0.0,39.0,78.333,0.75,70.0,,,250.0,,,,,,148.667,,2020
Kaho-Kagyeyo,Rukungiri,NYAK-KAHOKO,0.0,48.833,38.333,1.037,120.0,,2.5,,40.0,,,13.0,,131.0,25.0,2020
Kaho-Kamuhozi,Rukungiri,NYAK-KAHOKO,1188.125,57.375,40.625,1.659,107.5,,0.0,,210.0,,,9.5,,98.25,20.0,2020
Kaho-Karukonjo,Rukungiri,NYAK-KAHOKO,1451.3,51.4,46.0,1.37,75.0,,,,,,,,,3.0,,2020
Kaho-Katungu,Rukungiri,NYAK-KAHOKO,1838.5,54.917,97.5,1.975,92.0,,,,,,,2.875,,482.917,87.0,2020
Kaho-Kibeho,Rukungiri,NYAK-KAHOKO,1807.75,51.917,32.5,1.175,140.0,,,,,,,,,50.0,,2020
Kaho-Kigoyi,Rukungiri,NYAK-KAHOKO,1548.417,52.917,33.333,0.854,45.625,,2.0,,25.0,,,15.125,,,25.0,2020
Kaho-Kitebwe,RUKUNGIRI,NYAK-KAHOKO,0.0,48.167,26.667,0.9,100.0,,,,20.0,,,,,0.0,,2020
Kaho-Kitebwe,Rukungiri,NYAK-KAHOKO,0.0,53.5,63.0,0.875,50.0,,,,,,,,,75.167,100.0,2020
Kaho-Kitungunda,Rukungiri,NYAK-KAHOKO,0.0,53.167,42.5,1.7,106.25,,1.917,30.0,31.5,130.0,,14.591,,146.25,85.833,2020
Kaho-Nyabisoni,Rukungiri,NYAK-KAHOKO,1851.727,49.273,44.545,0.836,34.0,,,,,,,,,,,2020
Kaho-Nyabubare,Rukungiri,NYAK-KAHOKO,554.333,54.0,47.083,1.02,64.4,,,,,,,3.25,,50.0,,2020
Kaho-Nyakabale,Rukungiri,NYAK-KAHOKO,1786.538,52.615,81.923,1.302,55.5,13.0,,,,,,4.667,,138.8,94.6,2020
Kaho-Nyamirama,Rukungiri,NYAK-KAHOKO,1580.727,52.364,21.818,1.023,72.75,,,,77.5,,,26.5,,,0.0,2020
Kaho-Nyaruhanga,Rukungiri,NYAK-KAHOKO,1869.167,65.083,32.333,1.583,149.5,,,,100.0,,,2.0,,98.3,150.0,2020
Kaho-Nyarurambi,Rukungiri,NYAK-KAHOKO,1775.333,48.75,29.167,0.688,146.667,,,,,,,,,41.875,50.0,2020
Kaho-Rugasha,Rukungiri,NYAK-KAHOKO,0.0,54.583,45.833,0.521,68.333,,,,110.0,,,,130.0,52.0,33.833,2020
Kaho-Runyinya,Rukungiri,NYAK-KAHOKO,1632.833,46.167,23.583,1.6,132.75,,,,125.0,,,,,66.9,,2020
Kaho-Rutooma,Rukungiri,NYAK-KAHOKO,921.5,52.75,59.167,0.729,67.167,,,22.0,60.0,,,1.0,,75.0,1.5,2020
Kaho-Rwanama,Rukungiri,NYAK-KAHOKO,906.833,49.083,42.917,0.624,85744.5,,,,,,,4.667,,30.0,300.0,2020
Kahyoro,KYENJOJO,MBURARA,1161.333,39.667,45.833,0.567,135.0,,8.5,,403.75,,,8.0,,40.833,1.0,2020
Kairabwa,MITOOMA,KAGATI,590.917,46.917,47.083,0.975,56.0,,3.0,,,,,2.833,65.0,26.667,2.0,2020
Kakimba,MITOOMA,KIYANGA,1156.083,49.5,34.583,1.38,58.5,,,,,,,7.0,,64.0,220.0,2020
Kakindo,KAGADI,NYAKARONGO,1256.083,51.833,30.833,1.502,325.0,,,,205.0,,,,60.0,70.0,,2020
Kakooga,KAGADI,KISUURA,1249.25,48.083,82.5,0.525,432.5,,,,,,,,,,,2020
Kakyeza,MITOOMA,RWANJA EAST,1415.583,49.5,59.167,0.667,42.0,,3.0,,75.0,47.0,,4.5,43.5,23.182,0.857,2020
Kaligenda,KYENJOJO,MUBEMBE,1157.75,39.833,52.667,0.432,26.714,1.267,,,339.944,,,,,20.4,20.0,2020
Kamabare,MITOOMA,KIYANGA,562.083,34.917,77.5,0.502,90.0,,,,,50.0,,2.25,,37.143,81.111,2020
Kamazima,KYENJOJO,KIJEBERA,1173.083,35.417,58.75,0.129,70.714,12.6,8.0,,250.0,,,,20.0,29.875,400.0,2020
Kambogo,KAGADI,KASOGA,1125.917,43.5,58.333,0.865,177.6,,,,407.5,,,,,260.0,50.0,2020
Kamuganga A,KYENJOJO,KIJEBERA,1218.455,31.091,71.636,1.386,157.818,5.64,4.0,,444.286,,,5.0,160.0,35.909,80.5,2020
Kamuganga B,KYENJOJO,KIJEBERA,1187.5,38.833,31.75,0.729,152.5,44.0,,,,,,,,65.0,0.0,2020
Kamukole A,KAGADI,NGOMA,1249.667,43.417,52.25,0.542,690.0,,,,160.0,,,,,5.0,4.125,2020
Kamukole B,KAGADI,NYAMASA,1237.167,42.083,58.333,0.454,124.167,14.5,,,320.0,,,,,,,2020
Kamukube,KYENJOJO,KYAMUGARRA,1279.25,41.75,70.417,0.604,91.0,4.667,1.5,,496.0,,,4.0,,15.0,16.667,2020
Kamuseegu Central,KAGADI,KAMUSEEGU,1297.25,44.667,79.583,0.25,47.5,,,,250.0,,,,,150.0,,2020
Kanganga,MITOOMA,RWANJA EAST,998.3,62.6,34.0,2.065,92.375,,4.5,,130.0,,,8.286,,137.0,89.0,2020
Kaniampiiha,MITOOMA,KASHASHA,598.0,49.583,35.417,3.358,115.333,,4.083,,136.667,,,6.5,57.5,97.222,185.5,2020
Kanyegaramire,KYENJOJO,KANYEGARAMIRE,892.625,32.125,25.625,2.535,169.214,105.0,11.5,,3116.667,,,,,225.0,450.0,2020
Kanyinya,KYENJOJO,KYAMUGARRA,1297.643,45.0,90.0,1.4,293.0,25.0,,,1200.0,,,,,25.0,,2020
Kara-Bujengwe,KANUNGU,KAYO-KARANGARA,1415.182,51.545,47.909,1.295,47.6,,,,90.0,,,,,82.875,40.0,2020
Kara-Kagoma,KANUNGU,KAYO-KARANGARA,1346.5,52.583,39.583,1.454,47.7,,4.0,,365.0,100.0,,3.25,36.5,116.444,87.778,2020
Kara-Mushija,KANUNGU,KAYO-KARANGARA,1474.25,45.667,76.667,0.988,81.667,,,,,77.5,,,,55.5,16.0,2020
Kara-Nshangi,KANUNGU,KAYO-KARANGARA,1418.5,41.583,32.417,1.419,50.4,,,,120.0,,,,,13.667,4.0,2020
Kara-Ntengyere,KANUNGU,KAYO-KARANGARA,1180.25,43.333,35.583,2.95,93.75,,3.0,,90.0,,,3.5,50.0,368.75,618.333,2020
