pre_village,pre_district,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Muruhinga,Rubanda,1965.877777777778,50.111111111111114,0.5355,25.22222222222222,135.28571428571428,20.0,,,,,,68.66666666666667,,0.0,,2021
Mushebeya,Rubanda,2035.8083333333334,50.083333333333336,0.25833333333333336,73.75,112.25,,,500.0,,,,48.916666666666664,,5.0,,2021
Mushongati_Nangara,Rubanda,2052.0333333333333,48.583333333333336,1.0201875,50.416666666666664,145.2,10.0,,650.0,,,,6.833333333333333,,,,2021
Mushorero,Kanungu,1661.5454545454545,41.54545454545455,1.513818181818182,91.81818181818181,446.6666666666667,,,,1300.0,,,3.0,,72.0,51.25,2021
Musirwe,Rubanda,2077.109090909091,47.63636363636363,0.9972727272727273,58.63636363636363,171.625,13.0,,,,,,6.0,,30.0,0.0,2021
Muzinga,Mitooma,1151.875,48.5,1.75,83.125,46.75,,2.6666666666666665,,,,,2.75,,68.75,90.0,2021
Nangara,Rukungiri,1864.7666666666667,53.583333333333336,1.0560416666666665,86.5,151.375,,0.0,,70.0,,,7.0,68.0,78.33333333333333,70.0,2021
Ndaragi,Rukungiri,865.8916666666668,45.333333333333336,1.0416666666666667,45.833333333333336,81.33333333333333,,,80.0,50.0,,,1.1666666666666667,,75.0,201.75,2021
Ndeego,Rubanda,1977.9923076923078,40.92307692307692,1.4384615384615385,18.46153846153846,106.0,5.5,,,,,,5.714285714285714,,0.0,,2021
Ndurumo_Rwoburunga,Mitooma,1165.388888888889,42.72222222222222,0.9722222222222222,46.388888888888886,76.63636363636364,,0.5,,,120.0,,3.0,,62.1,42.0,2021
Numba,Rukungiri,970.4363636363636,55.54545454545455,0.75,35.0,73.77777777777777,,,,55.0,,,1.375,,69.54545454545455,0.0,2021
Nyabisoni,Rukungiri,1291.335,48.55,0.8949999999999999,66.5,164.71428571428572,,,,215.0,,,1.8333333333333333,,119.16666666666667,97.1875,2021
Nyabiterekyere,Rukungiri,0.0,47.36363636363637,1.0340909090909092,55.90909090909091,110.0,,3.5,75.0,39.8,,,8.85,,102.0,67.94444444444444,2021
Nyabubaare,Mitooma,459.1666666666667,34.583333333333336,0.6208333333333333,78.33333333333333,61.1,,,100.0,,,,,20.0,187.5,48.333333333333336,2021
Nyabubare,Rukungiri,554.4250000000001,54.0,1.0199166666666668,47.083333333333336,87.83333333333333,,0.0,,210.0,,,4.25,,53.333333333333336,,2021
Nyabyogo,Rukungiri,1640.3200000000002,51.6,0.882,33.6,66.14285714285714,,,,,,,4.0,,83.33333333333333,,2021
Nyabyondo_Rwoburunga,Mitooma,1326.75,45.5,1.3791666666666667,20.833333333333332,84.5,,,,13.0,,,8.0,15.0,53.333333333333336,65.0,2021
Nyakabale,Rukungiri,1786.4769230769232,52.61538461538461,1.301923076923077,81.92307692307692,79.66666666666667,13.0,,,,,,6.25,,134.0,79.0,2021
Nyakagezi,Kanungu,1368.3333333333333,58.0,1.0208333333333333,40.416666666666664,240.83333333333334,,,,1300.0,,,2.5,,46.666666666666664,81.66666666666667,2021
Nyakagongo,Mitooma,639.8333333333334,46.25,1.1833333333333333,53.333333333333336,93.0909090909091,20.75,4.75,,,,,4.863636363636363,65.0,48.5,158.1818181818182,2021
Nyakarambi,Kanungu,1340.375,55.25,1.3,36.875,315.0,,11.0,,1300.0,,,,,29.0,60.0,2021
Nyakashebeya,Mitooma,1078.6666666666667,44.333333333333336,2.310208333333333,22.416666666666668,77.0,,,,,,,3.0,40.0,,150.0,2021
Nyakatoma,Kanungu,1410.6666666666667,39.333333333333336,0.8441666666666666,54.583333333333336,415.0,,,120.0,1300.0,,,,,65.2,80.0,2021
Nyakibuga,Kanungu,1438.875,54.0,1.3671875,27.5,337.5,,11.0,,1300.0,,,,,34.0,20.0,2021
Nyakisoroza,Rukungiri,1458.9583333333333,43.666666666666664,0.8541666666666666,25.833333333333332,129.75,,,,7.0,,,2.0,65.0,49.0,44.0,2021
Nyamabare,Rukungiri,1047.6888888888889,48.44444444444444,2.572222222222222,69.44444444444444,139.83333333333334,,,,91.0,,,11.0,,145.5,220.0,2021
Nyamicucu_Mugyera,Rubanda,2333.0499999999997,59.666666666666664,0.8491666666666666,165.0,162.5,6.8,,,,,,36.285714285714285,,7.0,,2021
Nyamirama,Rukungiri,1580.7545454545455,52.36363636363637,1.0227272727272727,21.818181818181817,79.71428571428571,,,,77.5,,,50.0,,73.0,76.375,2021
Nyamishamba,Kanungu,1528.3333333333333,41.0,0.8922222222222224,38.888888888888886,428.5,,,28.0,1044.6,,,3.0,,63.333333333333336,67.0,2021
Nyamisheshe,Mitooma,642.9,44.5,0.8400000000000001,43.0,134.375,,3.0,,30.0,,,6.75,,49.0,18.8,2021
Nyamizi,Kanungu,1388.4545454545455,44.0,2.161363636363636,22.0,274.375,,11.0,,1300.0,,,,40.0,24.0,5.0,2021
Nyanga,Mitooma,581.25,50.166666666666664,0.6333333333333333,39.166666666666664,110.5,,3.0,,,,,10.0,95.0,19.875,1.7142857142857142,2021
Nyarubare,Rukungiri,0.0,45.083333333333336,1.4270833333333333,38.166666666666664,150.5,60.0,5.0,,89.33333333333333,,,7.375,,174.0909090909091,186.0,2021
Nyaruhanga,Rukungiri,1869.125,65.08333333333333,1.5829166666666667,32.333333333333336,149.5,,,,100.0,,,2.0,,79.25,106.0,2021
Nyaruharo,Kanungu,1375.75,42.416666666666664,1.4166666666666667,66.66666666666667,325.0,,10.0,,1300.0,60.0,,7.5,,38.333333333333336,13.0,2021
Nyarurambi,Rukungiri,1775.45,48.75,0.6875,29.166666666666668,146.66666666666666,,,,,,,,,41.875,50.0,2021
Nyaruzinga,Mitooma,1684.1,54.0,1.9745000000000001,39.0,80.83333333333333,,,,,,,,55.0,41.7,60.0,2021
Nyarwanya_Rwanja,Mitooma,1629.9166666666667,48.833333333333336,1.6864583333333334,32.333333333333336,152.22222222222223,,,,,,,3.0,,50.666666666666664,45.5,2021
Omukatooma,Rukungiri,1507.5666666666666,50.833333333333336,0.9249166666666667,36.083333333333336,210.88888888888889,,,176.66666666666666,400.0,,,7.0,,38.0,100.0,2021
Omurutezo,Rukungiri,1845.3583333333333,47.166666666666664,1.8316666666666668,62.5,159.22222222222223,,3.0,,97.25,,,9.5,,91.25,100.0,2021
Omurwambu,Kanungu,1378.0,51.6,0.78125,16.0,431.6666666666667,,10.5,,1300.0,60.0,,7.5,,67.5,10.0,2021
Orujeebe,Mitooma,818.6666666666666,50.166666666666664,0.8450000000000001,45.0,80.0,,,,,,,,,0.0,0.0,2021
Rubaya,Mitooma,606.2727272727273,37.27272727272727,0.8863636363636364,39.09090909090909,68.75,,3.5,,,,,3.0,82.5,0.0,4.8,2021
Rugando_Rwanja,Mitooma,1483.3,48.9,0.9525,50.0,96.0,,,,,,,2.7,,31.666666666666668,153.33333333333334,2021
Rugasha,Rukungiri,0.0,53.75,0.5208333333333334,45.833333333333336,86.25,4.0,,,110.0,,,,130.0,52.0,33.833333333333336,2021
Rugoma,Rukungiri,1839.2833333333335,47.666666666666664,0.5625,24.333333333333332,113.25,,,,82.5,,,7.5,,76.66666666666667,1.0,2021
Ruhita,Rukungiri,1633.2571428571428,36.285714285714285,1.157142857142857,89.28571428571429,79.0,,,,,,,2.0,,97.5,217.5,2021
Runyinya,Rukungiri,1632.7916666666667,46.166666666666664,1.4333125000000002,23.583333333333332,130.77777777777777,13.0,,,125.0,,,,,92.63636363636364,,2021
Rurama,Kanungu,1525.6666666666667,43.166666666666664,0.6873333333333335,47.916666666666664,287.0,,10.0,,874.3333333333334,60.0,,7.5,,50.0,51.5,2021
Rurindo,Rukungiri,134.54999999999998,47.916666666666664,0.5695,52.083333333333336,212.25,6.0,10.0,,90.0,,135.0,10.5,,,,2021
Rushaki,Rubanda,1947.090909090909,47.72727272727273,1.3904545454545454,42.27272727272727,222.875,5.0,,,,,,8.333333333333334,,,,2021
Rushebeya,Rukungiri,0.0,51.916666666666664,1.0583333333333333,40.833333333333336,94.81818181818181,,2.25,,56.25,,,8.0,,124.66666666666667,89.4,2021
Rushoroza,Mitooma,1165.2727272727273,47.81818181818182,1.1311136363636365,32.300000000000004,81.33333333333333,,,,,120.0,,5.0,105.0,,1800.0,2021
Rutendere,Kanungu,1315.1538461538462,53.15384615384615,0.5676923076923077,56.15384615384615,460.0,,11.0,,1012.5,,,,,120.0,140.0,2021
Rutonde,Kanungu,1462.4166666666667,46.5,1.1041666666666667,34.833333333333336,315.0,,11.0,,874.3333333333334,,,,,47.2,135.33333333333334,2021
Rutoobo,Mitooma,1141.0,45.18181818181818,1.0936363636363635,64.9090909090909,84.0,,,,,,,3.0,,,75.0,2021
Rutooma,Rukungiri,921.4833333333332,52.75,0.7291666666666666,59.166666666666664,90.42857142857143,,,22.0,60.0,,,13.0,,91.25,1.875,2021
Ruzonga,Mitooma,1127.5,46.5,1.4749999999999999,50.166666666666664,74.0,,5.0,,,,,,,25.0,70.0,2021
Rwabutera,Kanungu,1299.6363636363637,48.18181818181818,1.6054545454545455,42.72727272727273,400.7142857142857,,10.0,,1300.0,,,,11.0,26.666666666666668,5.0,2021
Rwakutaka,Mitooma,1581.4,43.9,1.54,34.0,90.0,,3.5,,,150.0,,6.45,,75.55555555555556,172.0,2021
Rwanama,Rukungiri,1088.28,44.8,0.5788,43.5,85876.0,,5.0,,,,,8.0,,110.0,70.0,2021
Rwangeru,Rukungiri,455.60833333333335,41.583333333333336,0.9441666666666667,40.0,103.375,,3.0,,90.0,,,9.5,,42.5,0.0,2021
Rwaseyeza,Rubanda,2156.67,52.8,1.133,128.5,145.83333333333334,7.0,,,,,,8.714285714285714,,,,2021
Rwemirama,Mitooma,0.0,38.54545454545455,0.5836363636363636,55.45454545454545,97.4,,,,,80.0,,,,49.42857142857143,120.0,2021
Rwendahi,Kanungu,1193.3333333333333,47.916666666666664,0.865625,19.833333333333332,317.5,,11.0,,661.5,,,3.0,,52.0,107.83333333333333,2021
Rwenkyende,Kanungu,1399.1818181818182,47.18181818181818,1.1943181818181818,24.363636363636363,493.0,,,,1300.0,130.0,,,,37.5,5.0,2021
Rwere,Rukungiri,1650.9454545454546,49.81818181818182,0.8409090909090909,42.72727272727273,169.16666666666666,,,,125.0,,,,,43.27272727272727,,2021
Rwoburunga,Mitooma,1204.6666666666667,44.583333333333336,1.6875,40.0,65.0,,5.0,,,,,3.3333333333333335,105.0,33.0,42.0,2021
Rwongora,Mitooma,1597.888888888889,51.22222222222222,1.0444444444444445,79.44444444444444,121.42857142857143,20.0,2.0,,,,,5.0,62.0,77.14285714285714,43.333333333333336,2021
Rwonyo,Rukungiri,1659.2083333333333,46.666666666666664,1.1875,25.0,81.25,,,,,,,,,37.5,,2021
