pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kibungo 1A,MITOOMA,KANYABWANGA,618.25,50.083,37.917,1.96,141.5,,4.8,35.0,30.0,,,5.889,13.0,102.0,212.727,2020.0
Kibungo 1B,MITOOMA,KANYABWANGA,849.083,43.417,40.0,0.854,45.0,1.5,2.0,62.5,,,,4.4,54.0,21.25,50.667,2020.0
Kibungo 2,MITOOMA,KANYABWANGA,0.0,44.417,47.333,0.525,57.0,,,,,,,2.25,,20.0,10.0,2020.0
Kicwamba,Kyenjojo,Matiri,1328.4583333333333,44.666666666666664,57.083333333333336,2.5375,182.91666666666666,9.833333333333334,8.25,,167.33333333333334,,,11.675,,33.0,18.0,2022.0
Kicwamba A,KAGADI,KISUURA,1278.455,51.273,110.0,1.673,145.0,,6.0,,305.0,,,,,10.0,0.0,2020.0
Kidukuru,KYENJOJO,BATALIKA,1181.667,46.333,80.417,1.075,167.5,13.333,,,138.333,,,,,40.0,21.0,2020.0
Kigarama_Nyamabare,Rubanda,Nyamabare,2121.8454545454547,51.18181818181818,41.54545454545455,1.1181818181818182,92.54545454545455,4.8,,,,,,8.75,,54.25,,2022.0
Kigarya,Rubanda,Bunagana,2143.9500000000003,50.25,61.916666666666664,1.5058333333333334,125.27272727272727,,,,,,,6.5625,,5.0,,2022.0
Kigata,KAGADI,KATELEMWA,1266.833,39.75,59.583,0.935,118.833,,,,90.0,,,,,16.2,12.25,2020.0
Kigimbi A,MITOOMA,RYENGYERERO,1578.833,52.75,17.083,1.977,76.667,,,,,470.0,,,,105.9,116.667,2020.0
Kigimbi B,MITOOMA,RYENGYERERO,779.083,46.583,41.667,1.179,48.0,,3.5,,,,,,,0.0,0.0,2020.0
Kigimbi C,MITOOMA,RUTOOMA,774.833,52.333,40.667,1.082,102.4,,,,,,,2.333,,95.417,131.429,2020.0
Kigimbi D,MITOOMA,RUTOOMA,703.692,48.833,27.917,1.871,95.0,,,,40.0,,,10.0,50.0,103.333,143.0,2020.0
Kigunga A,MITOOMA,KATI,125.583,46.333,37.917,0.493,107.625,,,,,,,2.0,,40.0,75.0,2020.0
Kigunga B,MITOOMA,KATI,1539.583,48.583,34.167,1.717,142.571,,,,,,,,20.0,70.455,130.0,2020.0
Kigunguzo,Rubanda,Kishanje,2370.0666666666666,51.5,215.5,1.3708333333333333,120.45454545454545,6.5,,,,,,10.15,,9.0,,2022.0
Kigunura,Rubanda,Mushanje,2314.7153846153847,50.69230769230769,180.0,0.6961538461538462,91.0,3.0,,,,,,4.8,,9.5,,2022.0
Kigyende 1B,MITOOMA,KANYABWANGA,496.0,40.667,38.167,1.712,90.0,,,160.0,,,,,,81.6,132.0,2020.0
Kigyende 2,MITOOMA,KANYABWANGA,1161.75,40.25,32.083,1.59,130.0,,,,20.0,,,12.0,50.0,103.333,71.667,2020.0
Kiha-Bujerengye,KANUNGU,KIRI-KIHANDA,1457.364,53.636,31.0,1.357,133.9,,,,,,,6.5,125.0,320.364,166.667,2020.0
Kiha-Ibarya,KANUNGU,KIRI-KIHANDA,1325.583,48.167,52.5,0.892,50.429,,,53.0,19.0,,,12.3,,36.429,107.625,2020.0
Kiha-Katembe,KANUNGU,KIRI-KIHANDA,1324.25,56.75,20.917,1.145,92.75,,1.5,,190.0,,,,,226.667,10.0,2020.0
Kiha-Kihumuro,KANUNGU,KIRI-KIHANDA,1411.917,43.25,21.25,1.062,58.8,,,,98.0,,,,,157.111,183.333,2020.0
Kiha-Nyakagezi,KANUNGU,KIRI-KIHANDA,1368.333,58.0,40.417,1.021,39.143,,0.0,,34.0,30.0,,,40.0,2.25,0.0,2020.0
Kiha-Nyakarambi,KANUNGU,KIRI-KIHANDA,1340.375,55.25,36.875,1.3,148.5,,,28.0,476.667,,,,,5.0,,2020.0
Kiha-Nyakatoma,KANUNGU,KIRI-KIHANDA,1412.846,39.462,55.0,0.895,133.0,,1.5,,67.5,,,,,119.25,50.667,2020.0
Kiha-Nyakibuga,KANUNGU,KIRI-KIHANDA,1425.2,53.9,26.5,1.394,107.714,,5.25,,204.0,,,5.25,,126.4,412.222,2020.0
Kiha-Nyamizi,KANUNGU,KIRI-KIHANDA,1387.167,44.083,21.0,2.46,80.0,,10.0,,124.333,75.0,,,,182.25,262.75,2020.0
Kiha-Nyaruharo,KANUNGU,KIRI-KIHANDA,1375.75,42.417,66.667,1.417,81.714,,10.333,,18.0,,,9.667,,64.091,253.25,2020.0
Kiha-Omurwambu,KANUNGU,KIRI-KIHANDA,1385.333,51.333,15.833,1.022,110.2,,6.5,,123.75,,,7.5,,200.5,174.333,2020.0
