pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Bugada_Gadumire,Kaliro,Gadumire,1038.9,52.0,60.0,0.5,,,,,,,,,,,
Bugonya,Kaliro,Gadumire,1050.3,29.0,50.0,2.0,90.0,,,,160.0,75.0,,,,15.0,
Namukoko,Kaliro,Bupyana,1050.3,65.0,10.0,2.5,,,,,,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1054.1,63.0,60.0,1.0,,,,,160.0,,,,,,
Busiro,Kaliro,Panyolo,1055.8,80.0,20.0,1.0,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1032.4,35.0,120.0,0.2,,,,,,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1051.9,40.0,60.0,1.5,,,,,,,,,,,
Butambala,Kaliro,Butambala,1024.6,25.0,120.0,0.0,,,,,,,,,,,
Bususwa,Kaliro,Gadumire,1059.4,26.0,60.0,1.0,,,,,400.0,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1041.5,26.0,2.0,0.0,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1019.5,21.0,60.0,,,,,,,,,,,,
Bugonya,Kaliro,Gadumire,1076.5,16.0,20.0,,,,,,100.0,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1020.7,80.0,60.0,0.0,,,,,,,,,,,
Nyolo,Kaliro,Panyolo,1049.5,44.0,300.0,3.0,,,,,,,,,,,
Buseru,Kaliro,Butambala,1024.1,77.0,160.0,1.0,,,,,200.0,,,,,,
Busege,Kaliro,Panyolo,1053.8,74.0,60.0,0.5,,,,,90.0,80.0,,,,10.0,
Busiro_Cenral,Kaliro,Panyolo,1047.5,42.0,28.0,0.3,42.0,,,,80.0,,,,,,
Bugonya,Kaliro,Gadumire,1060.4,29.0,60.0,2.0,,,,,140.0,,,,,,
Nyolo,Kaliro,Panyolo,1049.5,38.0,20.0,3.8,,,,,,,,,,,
Nansohera_A,Kaliro,Bupyana,1044.0,35.0,30.0,1.0,,,,,100.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1007.0,72.0,150.0,0.8,,,,,,,,,,,
Wamusuta,Kaliro,Gadumire,1056.6,29.0,20.0,2.0,,,,,140.0,,,,,,
Busiginyi,Kaliro,Isalo,1041.4,19.0,20.0,,,,,,600.0,,,,,,
Bubalala,Kaliro,Butambala,1021.8,42.0,60.0,,,,,,,,,9.0,,,
Busiginyi,Kaliro,Isalo,1038.7,49.0,60.0,4.0,,,,,100.0,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1026.7,26.0,60.0,0.5,,,,,80.0,,,,,,
Bususwa,Kaliro,Gadumire,1064.9,50.0,240.0,1.75,75.0,,,,200.0,,,,,30.0,
Bugada_Gadumire,Kaliro,Gadumire,0.0,34.0,30.0,1.5,,,,,400.0,,,,,,
Iguliryo,Kaliro,Panyolo,1023.5,60.0,60.0,0.5,,,,,40.0,,,,,20.0,
Bugonya,Kaliro,Gadumire,1074.2,18.0,60.0,0.5,,,,,80.0,,,,,,
Nansohera_A,Kaliro,Bupyana,1044.7,38.0,40.0,,,,,,,,,,,,
Iguliryo,Kaliro,Panyolo,1022.9,28.0,40.0,1.0,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1033.3,31.0,4.0,0.25,,,,,,,,,,,
Wamusuta,Kaliro,Gadumire,1061.7,60.0,25.0,2.0,,,,,,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1057.4,38.0,80.0,0.25,,,,,40.0,,,,6.0,20.0,
Gadumire_T/C,Kaliro,Gadumire,1018.8,56.0,30.0,,,,,,160.0,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,0.0,35.0,1.0,1.0,,,,,800.0,,,,,,
Busege,Kaliro,Panyolo,1042.4,52.0,70.0,2.0,,,,,100.0,,,,,,
Bunabiro,Kaliro,Gadumire,1052.2,28.0,240.0,0.3,,,,,,,,,,,
Buseta,Kaliro,Isalo,1045.0,20.0,30.0,,,,,,,,,,,,
Bugonya,Kaliro,Gadumire,1057.3,27.0,80.0,1.0,,,9.0,,300.0,,,,,,
Nansohera_B,Kaliro,Bupyana,1035.1,60.0,115.0,,,,,,400.0,,,,,,
Nyolo,Kaliro,Panyolo,1010.5,20.0,60.0,1.9,,,,,70.0,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1053.8,53.0,40.0,0.75,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1040.7,48.0,60.0,,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1025.1,36.0,120.0,0.5,,,,,100.0,,,,,,
Iguliryo,Kaliro,Panyolo,1061.2,70.0,15.0,,,,,,,,,,,,
Nabweyo,Kaliro,Gadumire,1054.0,20.0,60.0,,,,,,,,,,,,
Kyamba,Kaliro,Bupyana,1040.1,74.0,120.0,0.75,,,,,90.0,80.0,,,,10.0,
Ruhunga,Kaliro,Isalo,1041.5,80.0,60.0,0.0,,,,,140.0,,,,,,
Bususwa,Kaliro,Gadumire,1044.6,41.0,30.0,0.25,130.0,,,,120.0,,,,,30.0,50.0
Busiro_Tabina,Kaliro,Panyolo,1025.0,63.0,60.0,0.5,,,,,20.0,,,,,,
Nakawa,Kaliro,Butambala,1028.2,48.0,45.0,1.0,,,,,60.0,,,,,6.0,
Bunabiro,Kaliro,Gadumire,1054.6,64.0,140.0,0.9,,,3.0,,,,,,,,
Ruhunga,Kaliro,Isalo,1041.6,40.0,30.0,0.0,,,,,90.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1024.8,26.0,6.0,1.0,,,,,200.0,,,,,,
Busege,Kaliro,Panyolo,1043.0,29.0,1.0,,,,,,2000.0,,,,,,
Nabweyo,Kaliro,Gadumire,1047.9,70.0,30.0,2.5,,,,,80.0,42.0,,,,30.0,
Kiranga_B,Kaliro,Bupyana,1027.8,70.0,30.0,1.5,,,,,,,,,,,
Kiranga_A,Kaliro,Bupyana,1043.4,46.0,60.0,0.25,,,,,1000.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1034.5,55.0,30.0,0.5,,,,,20.0,,,,,,
Kyamba,Kaliro,Bupyana,1040.1,69.0,30.0,2.75,,,,,86.0,,,,,,
Ruhunga,Kaliro,Isalo,1050.6,64.0,60.0,2.5,,,,,,,,,,,
Butambala,Kaliro,Butambala,1030.3,43.0,20.0,,,,,,,,,,,,
Buseru,Kaliro,Butambala,1027.3,22.0,30.0,,,,,,,,,,,,
Isaalo,Kaliro,Isalo,1036.6,35.0,12.0,2.0,,,,,200.0,,,,,,
Ruhunga,Kaliro,Isalo,1051.7,61.0,60.0,1.0,,,,,200.0,,,,,,
Busege,Kaliro,Panyolo,0.0,30.0,120.0,1.0,,,,,300.0,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1042.4,62.0,120.0,1.0,,,,,,,,,,,
Bunabiro,Kaliro,Gadumire,1061.9,39.0,69.0,1.5,,,,,90.0,,,,,,
Bususwa,Kaliro,Gadumire,1048.5,70.0,30.0,0.4,,,,,120.0,,,,,100.0,
Lake_Nakuwa,Kaliro,Panyolo,1050.5,43.0,10.0,2.0,,,,,200.0,,,,,,
Bukere,Kaliro,Bupyana,1035.3,50.0,180.0,3.0,,,,,,,,,,,
Bususwa,Kaliro,Gadumire,1043.4,52.0,240.0,3.0,,,,,,,,,,60.0,
Buvundya,Kaliro,Bupyana,1026.0,61.0,3.0,4.0,,,,,,,,,,,
Isaalo,Kaliro,Isalo,1031.0,61.0,90.0,2.5,,,,,,,,,,,
Kiranga_B,Kaliro,Bupyana,1040.0,96.0,80.0,,,,,,2000.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1036.3,38.0,30.0,0.2,,,,,2000.0,,,,,,
Nansohera_A,Kaliro,Bupyana,1036.3,25.0,15.0,2.0,,,,,2000.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1084.2,78.0,38.0,0.9,,,32.0,,,48.0,,,41.0,30.0,
Isaalo,Kaliro,Isalo,1030.4,18.0,20.0,,,,,,120.0,,,,,,
Nansohera_B,Kaliro,Bupyana,1055.9,22.0,120.0,1.0,,,,,120.0,,,,,,
Kyamba,Kaliro,Bupyana,1050.4,76.0,50.0,2.7,,,,,1000.0,,,,,,
Iguliryo,Kaliro,Panyolo,1022.9,24.0,40.0,2.0,,,,,600.0,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1094.6,65.0,60.0,1.0,,,10.0,,200.0,,,,,10.0,
Buseru,Kaliro,Butambala,1017.5,18.0,60.0,0.75,,,,,100.0,,,,,,
Busiginyi,Kaliro,Isalo,1013.0,71.0,60.0,1.5,,,,,18.0,,,,,,
Nabweyo,Kaliro,Gadumire,1069.3,69.0,120.0,2.0,,,,,100.0,,,,,10.0,
Nansohera_B,Kaliro,Bupyana,1055.9,66.0,120.0,1.0,,,,,,,,,,,
Bukere,Kaliro,Bupyana,1031.9,93.0,30.0,0.25,,,2.5,,180.0,,,,,0.0,
Busiro_Cenral,Kaliro,Panyolo,1047.5,30.0,12.0,0.5,,,13.0,,90.0,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1061.5,46.0,2.0,0.0,,,,,10.0,,,,,,
Bunabiro,Kaliro,Gadumire,1037.4,59.0,60.0,1.0,,,,,60.0,,,,,,
Namukoko,Kaliro,Bupyana,1054.5,70.0,45.0,6.0,,,,,1000.0,,,,,,
Buvundya,Kaliro,Bupyana,1040.4,50.0,10.0,3.0,,,5.0,,400.0,,,,,20.0,
Nabweyo,Kaliro,Gadumire,1094.6,29.0,30.0,0.75,,,,,400.0,,,,,,
Isaalo,Kaliro,Isalo,1031.0,24.0,20.0,0.5,,,10.0,,200.0,,,,,10.0,
Lake_Nakuwa,Kaliro,Panyolo,1042.3,25.0,60.0,,,,,,,,,,,,
Namukoko,Kaliro,Bupyana,1037.0,35.0,30.0,0.5,,,,,,,,,,,
Nakisenyi,Kaliro,Panyolo,1051.8,55.0,90.0,1.0,,,5.0,,200.0,300.0,,,,,
Gadumire_T/C,Kaliro,Gadumire,1057.8,63.0,120.0,3.0,,,,,220.0,,,,,,
Buseta,Kaliro,Isalo,1025.4,80.0,120.0,2.5,,,10.0,,200.0,,,,,10.0,
Bukere,Kaliro,Bupyana,1018.2,50.0,120.0,1.0,,,,,800.0,,,,,,
Busiginyi,Kaliro,Isalo,1033.4,48.0,60.0,0.5,,,,,800.0,,,,,,
Kiranga_A,Kaliro,Bupyana,1048.8,80.0,30.0,0.5,,,,,800.0,,,,,,
Nakawa,Kaliro,Butambala,1018.8,30.0,20.0,0.25,,,,,800.0,,,,,,
Namukoko,Kaliro,Bupyana,1052.6,80.0,60.0,1.0,,,,,800.0,,,,,,
Busiginyi,Kaliro,Isalo,1041.3,30.0,60.0,2.0,,,,,800.0,,,,,,
Ruhunga,Kaliro,Isalo,1019.4,40.0,30.0,1.8,,,,,800.0,,,,,,
Iguliryo,Kaliro,Panyolo,1033.3,40.0,60.0,0.0,,,,,,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1013.4,59.0,60.0,0.8,,,,,60.0,35.0,,4.0,,1.0,
Buseta,Kaliro,Isalo,1044.6,23.0,40.0,0.75,,,,,60.0,33.0,,4.0,,1.0,
Isaalo,Kaliro,Isalo,1028.9,63.0,60.0,1.0,,,10.0,,200.0,,,,,10.0,
Buvundya,Kaliro,Bupyana,1026.9,42.0,60.0,1.5,,,,,60.0,35.0,,4.0,,1.0,
Buvundya,Kaliro,Bupyana,1019.0,35.0,120.0,0.4,,,,,60.0,40.0,,4.0,,1.0,
Nakawa,Kaliro,Butambala,1031.4,32.0,40.0,,,,,,,,,,,,
Kiranga_B,Kaliro,Bupyana,1036.0,27.0,60.0,,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1067.3,60.0,60.0,1.0,,,,,60.0,35.0,,4.0,,1.0,
Bwisanga_Isalo,Kaliro,Isalo,1037.7,64.0,60.0,0.8,,,,,120.0,,,,,,
Buseru,Kaliro,Butambala,1027.6,27.0,60.0,0.0,,,,,,,,,,,
Busege,Kaliro,Panyolo,1017.2,21.0,30.0,,,,,,,,,,,,
